location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#operation+name,#assessment+type,#affected+idps,#round+code,#date+start,#date+end
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2271987,47,2024-05-31,2024-05-31
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2255595,48,2024-09-30,2024-09-30
NGA,True,True,,,,,,,0,Lake Chad Basin Crisis,SA,2252348,49,2024-11-30,2024-11-30
NGA,True,True,,,,,,,0,North Central and North West,SA,728688,5,2020-12-31,2020-12-31
NGA,True,True,,,,,,,0,North Central and North West,SA,695914,6,2021-02-01,2021-02-01
NGA,True,True,,,,,,,0,North Central and North West,SA,833006,7,2021-07-30,2021-07-30
NGA,True,True,,,,,,,0,North Central and North West,SA,1087875,10,2022-10-31,2022-10-31
NGA,True,True,,,,,,,0,North Central and North West,SA,1190293,11,2022-12-31,2022-12-31
NGA,True,True,,,,,,,0,North Central and North West,SA,1075893,12,2023-10-31,2023-10-31
NGA,True,True,,,,,,,0,North Central and North West,SA,1092196,13,2023-12-31,2023-12-31
NGA,True,True,,,,,,,0,North Central and North West,SA,1322766,16,2024-11-30,2024-11-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,123601,1,2014-12-01,2014-12-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,220159,2,2015-02-01,2015-02-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,222882,3,2015-04-01,2015-04-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,113437,4,2015-06-01,2015-06-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,117729,5,2015-08-01,2015-08-01
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,BA,135605,6,2015-10-01,2015-10-01
